model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,rank
Gradient Boosting,0.9976770859381512,0.0005154621988830321,0.9978046234162733,0.00047127305243769766,0.9976770859381512,0.0005154621988830321,0.9977077685918315,0.0005045665409784421,0.9999927977538373,1.2272768594258764e-05,1
Decision Tree,0.9824476119029757,0.005068540168933317,0.982575695112712,0.004970898114266918,0.9824476119029757,0.005068540168933317,0.9824455027498363,0.005064545410121272,0.9828920337856406,0.004248431320040658,2
Random Forest,0.8812626489955822,0.009794202314730292,0.8735788942108981,0.0253997300360365,0.8812626489955822,0.009794202314730292,0.8642970694263987,0.010992199581006099,0.9636501257173439,0.009598065831688056,3
MLP Neural Network,0.8154348587146787,0.011534476917642261,0.8074875119762938,0.011777942887302925,0.8154348587146787,0.011534476917642261,0.8091635081296644,0.011672802381384488,0.9015983824059646,0.011223336583895856,4
SVM Linear,0.8076922563974328,0.016784410258263254,0.8076176982194976,0.01679300040842513,0.8076922563974328,0.016784410258263254,0.8071537395823096,0.016670354023955537,0.8917414385655851,0.009188685953154382,5
Logistic Regression,0.8017537717762775,0.015430334534354075,0.8000791796257362,0.014750391160099097,0.8017537717762775,0.015430334534354075,0.800398139036304,0.014944661167886474,0.8814829360143334,0.011053780891435694,6
K-Nearest Neighbors,0.7457414353588396,0.010403601813827122,0.7252734781306878,0.013768812843025887,0.7457414353588396,0.010403601813827122,0.733755058099822,0.01159048723462105,0.8295138357443333,0.01214451979011326,7
Naive Bayes,0.6414540301742103,0.01775504064040943,0.6540272200853652,0.03366933428309295,0.6414540301742103,0.01775504064040943,0.5850814839284446,0.020461921826792722,0.6832707008304092,0.023438737123062253,8
