mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.693586826324463,0.6911205148658649,0.13690629005432128,0.03145687841454406,300,5,5,sqrt,,balanced,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.8037383177570093,0.7428571428571429,0.7706422018348624,0.673469387755102,0.6804123711340206,0.7342238842676274,0.05063570136547912,12,0.963302752293578,0.9495412844036697,0.9747126436781609,0.960919540229885,0.9770642201834863,0.965108088157756,0.009983237252575224
1.8530169010162354,0.22378471355167703,0.0978316307067871,0.01270817725699455,200,5,2,log2,30,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 30, 'model__class_weight': 'balanced'}",0.7777777777777778,0.72,0.7476635514018691,0.6804123711340206,0.6593406593406593,0.7170388719308654,0.04314264306309827,22,0.9977116704805492,0.9931662870159453,0.9977116704805492,0.9977116704805492,0.9954545454545455,0.9963511687824276,0.0018166067197029141
10.02513427734375,0.4140646298358821,0.22777466773986815,0.03919943406868672,500,2,5,sqrt,30,,"{'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__class_weight': None}",0.7766990291262136,0.7010309278350515,0.7476635514018691,0.6593406593406593,0.6666666666666666,0.710280166874092,0.045588379994272656,23,0.9561200923787528,0.9528301886792453,0.9720930232558139,0.9624413145539906,0.965034965034965,0.9617039167805534,0.006774884746914555
246.44052996635438,9.161755347980588,0.1636960983276367,0.03781114997748568,300,2,1,,20,,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': None, 'model__max_depth': 20, 'model__class_weight': None}",0.8148148148148148,0.7378640776699029,0.7387387387387387,0.7572815533980582,0.6875,0.747239836924303,0.04097861723958443,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.7758800983428955,0.5957638284402,0.1336153507232666,0.026061697304795066,200,20,2,sqrt,20,,"{'model__n_estimators': 200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__class_weight': None}",0.8,0.7346938775510204,0.7476635514018691,0.6956521739130435,0.6444444444444445,0.7244908094620756,0.052118718088598893,17,0.951048951048951,0.9557109557109557,0.9534883720930233,0.9603729603729604,0.9559164733178654,0.9553075425087512,0.00308664799755312
2.56925630569458,0.30103269033215063,0.15950927734375,0.04003087006043762,300,2,10,log2,,balanced,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.7333333333333333,0.6909090909090909,0.7433628318584071,0.6597938144329897,0.6666666666666666,0.6988131474400975,0.03404319697077822,26,0.8954545454545455,0.8790697674418605,0.8949771689497716,0.8842592592592593,0.9107551487414187,0.8929031779693712,0.010914067551255971
224.25807394981385,6.904431532006528,0.1504958152770996,0.022802249042584755,300,10,2,,20,,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 20, 'model__class_weight': None}",0.8037383177570093,0.7572815533980582,0.7454545454545455,0.7692307692307693,0.6875,0.7526410371680765,0.037954409680189115,2,0.9953917050691244,0.993103448275862,0.9977011494252873,0.993103448275862,0.9954337899543378,0.9949467082000947,0.0017214779469030509
2.91390380859375,0.5760291483959362,0.15858106613159179,0.030519908901481065,300,2,5,log2,20,,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': None}",0.7647058823529411,0.7010309278350515,0.7450980392156863,0.6373626373626373,0.6222222222222222,0.6940839417977077,0.056603127749838396,27,0.9433962264150944,0.9408983451536643,0.9577464788732394,0.9428571428571428,0.9579439252336449,0.9485684237065571,0.007620199266388452
7.169114875793457,0.6250529150203897,0.1702881336212158,0.04488113572854917,300,20,1,sqrt,20,,"{'model__n_estimators': 300, 'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__class_weight': None}",0.8,0.76,0.7476635514018691,0.6956521739130435,0.6739130434782609,0.7354457537586347,0.045363508962379284,9,0.9792147806004619,0.9696969696969697,0.9791183294663574,0.9767441860465116,0.9839816933638444,0.9777511918348291,0.004662936018972996
146.28299822807313,3.4225083123437505,0.13433032035827636,0.02527917784910262,200,10,1,,30,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': None, 'model__max_depth': 30, 'model__class_weight': 'balanced'}",0.8,0.75,0.75,0.7524752475247525,0.6956521739130435,0.7496254842875592,0.03304273517913597,4,0.9977011494252873,1.0,1.0,1.0,1.0,0.9995402298850575,0.0009195402298850742
