mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17422313690185548,0.016021226911554894,0.029773473739624023,0.010620631996225292,50,5,log2,,log_loss,,"{'model__min_samples_split': 50, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': None, 'model__criterion': 'log_loss', 'model__class_weight': None}",0.6470588235294118,0.6306306306306306,0.5789473684210527,0.5217391304347826,0.4948453608247423,0.5746442627681241,0.05926833301776631,27,0.7331670822942643,0.7881548974943052,0.735632183908046,0.712401055408971,0.754257907542579,0.7447226253296332,0.0254485145125781
1.4535711288452149,0.1329996400089627,0.0332944393157959,0.010608469641731066,10,20,,20,log_loss,,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': None, 'model__max_depth': 20, 'model__criterion': 'log_loss', 'model__class_weight': None}",0.6666666666666666,0.6213592233009708,0.6446280991735537,0.660377358490566,0.5510204081632653,0.6288103511590045,0.04192033460165941,8,0.8074245939675174,0.8086124401913876,0.8165938864628821,0.7925407925407926,0.8235294117647058,0.8097402249854572,0.010388155463331357
0.2004789352416992,0.0420940412725148,0.027384614944458006,0.0053262542089982995,5,2,log2,10,log_loss,,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__criterion': 'log_loss', 'model__class_weight': None}",0.6238532110091743,0.7272727272727273,0.5904761904761905,0.6037735849056604,0.6060606060606061,0.6302872639448717,0.04964353902223829,7,0.8992628992628993,0.9184149184149184,0.9016786570743405,0.9417249417249417,0.9392523364485982,0.9200667505851395,0.017948898075874718
0.16437191963195802,0.01340585317812765,0.023127174377441405,0.0008588331331169279,10,5,log2,20,entropy,,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__criterion': 'entropy', 'model__class_weight': None}",0.616822429906542,0.6788990825688074,0.6229508196721312,0.5490196078431373,0.6274509803921569,0.619028584076555,0.041417197275885706,14,0.8779342723004695,0.8557919621749409,0.8752834467120182,0.8888888888888888,0.8729792147806005,0.8741755569713836,0.01068854797429875
0.18349275588989258,0.005415232147135348,0.02280535697937012,0.000254590302683631,5,2,sqrt,20,log_loss,,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__criterion': 'log_loss', 'model__class_weight': None}",0.6363636363636364,0.6605504587155964,0.5471698113207547,0.6055045871559633,0.5436893203883495,0.5986555627888601,0.04684411702049817,19,0.9645390070921985,0.9648711943793911,0.9619047619047619,0.9675925925925926,0.965034965034965,0.9647885042007818,0.0018060293881638763
0.17942686080932618,0.011109641723884076,0.023155832290649415,0.0007131943498134747,2,10,sqrt,5,entropy,,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 5, 'model__criterion': 'entropy', 'model__class_weight': None}",0.6486486486486487,0.5769230769230769,0.49523809523809526,0.5656565656565656,0.5647058823529412,0.5702344537638655,0.048722683819119025,28,0.76,0.7713625866050808,0.7250608272506083,0.7420814479638009,0.7788461538461539,0.7554702031331287,0.019613826196645527
0.8860176086425782,0.06611050795391249,0.022832870483398438,0.0017233751903201811,2,20,,,entropy,,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 20, 'model__max_features': None, 'model__max_depth': None, 'model__criterion': 'entropy', 'model__class_weight': None}",0.6666666666666666,0.6213592233009708,0.6446280991735537,0.660377358490566,0.5510204081632653,0.6288103511590045,0.04192033460165941,8,0.8074245939675174,0.8086124401913876,0.8165938864628821,0.7925407925407926,0.8235294117647058,0.8097402249854572,0.010388155463331357
0.1709364414215088,0.005970855464771545,0.022681140899658205,0.0012519107509858327,50,1,sqrt,5,log_loss,,"{'model__min_samples_split': 50, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 5, 'model__criterion': 'log_loss', 'model__class_weight': None}",0.6530612244897959,0.6451612903225806,0.5299145299145299,0.6138613861386139,0.5617977528089888,0.6007592367349018,0.04778216470418017,18,0.7116883116883117,0.7565392354124748,0.7869565217391304,0.724373576309795,0.7272727272727273,0.7413660744844879,0.027117709076760938
0.16754093170166015,0.00310938035231325,0.028772926330566405,0.007314238375672874,20,2,sqrt,3,log_loss,balanced,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 3, 'model__criterion': 'log_loss', 'model__class_weight': 'balanced'}",0.6601941747572816,0.49523809523809526,0.6,0.576271186440678,0.5714285714285714,0.5806264055729253,0.05310573920486176,25,0.6956521739130435,0.6571428571428571,0.6162790697674418,0.6470588235294118,0.671957671957672,0.6576181192620852,0.026354710008930814
0.1869575023651123,0.0048905477488170946,0.022771310806274415,0.0018384823512870377,2,1,sqrt,15,entropy,,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 15, 'model__criterion': 'entropy', 'model__class_weight': None}",0.7256637168141593,0.5454545454545454,0.625,0.6434782608695652,0.5416666666666666,0.6162526379609873,0.06835784092214234,17,0.9864253393665159,0.9977011494252873,0.9954128440366973,0.9931972789115646,1.0,0.994547322348013,0.0046522397065378324
