model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,rank
Gradient Boosting,0.9984512130099706,0.001264905751278577,0.9985408684076266,0.001177909972455564,0.9984512130099706,0.001264905751278577,0.9984721107056064,0.0012448023129167322,0.9999872951625006,1.796735349941852e-05,1
Decision Tree,0.9803831639060286,0.0038051149273394197,0.9804193921022334,0.0038013275390769946,0.9803831639060286,0.0038051149273394197,0.9803824542127392,0.0038081753062402675,0.9810970725111394,0.003468255238881089,2
Random Forest,0.8691270996555498,0.0039630162949329546,0.8633638662841614,0.004450971885888417,0.8691270996555498,0.0039630162949329546,0.8541164804627254,0.00407779831483959,0.954218840225967,0.0022654929488697103,3
MLP Neural Network,0.8012358720649987,0.00986438405577373,0.7926334895551442,0.01116414728518933,0.8012358720649987,0.00986438405577373,0.7942827989396433,0.009116640082819802,0.8904895832725869,0.005588868800401272,4
Logistic Regression,0.79220434555656,0.005382051521478562,0.7908359291364678,0.0054630588061893755,0.79220434555656,0.005382051521478562,0.7914075430258962,0.0054560038716806,0.8745198883465841,0.0018323646856272856,5
K-Nearest Neighbors,0.7377378037521014,0.0032595570088690333,0.719069897338418,0.004520897399734501,0.7377378037521014,0.0032595570088690333,0.7255862399238429,0.003336886674882863,0.8205384774312505,0.005205028352173575,6
SVM Linear,0.6641742187518735,0.013496657704791741,0.6582772072947746,0.013161058551122417,0.6641742187518735,0.013496657704791741,0.6563847391579426,0.013313505474065483,0.7687686413389114,0.02711564132686682,7
Naive Bayes,0.6399076243486101,0.0015436318348794698,0.6509991881380955,0.0040397547127485,0.6399076243486101,0.0015436318348794698,0.5845656353592806,0.0028169814740422266,0.6833541739434121,0.0052580659937282465,8
