mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20.4876060962677,1.5229809259200946,0.024783849716186523,0.0007360872521207325,0.7,50,20,5,4,0.01,"{'model__subsample': 0.7, 'model__n_estimators': 50, 'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_depth': 4, 'model__learning_rate': 0.01}",0.6736842105263158,0.6265060240963856,0.5647058823529412,0.5882352941176471,0.4473684210526316,0.5800999664291842,0.07593728656020846,30,0.7696629213483146,0.7845303867403315,0.7888888888888889,0.7978142076502732,0.7857142857142857,0.7853221380684188,0.009107856301919726
39.39309182167053,1.2000764208030068,0.027633523941040038,0.007966673890823386,0.9,150,5,10,2,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 150, 'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.7706422018348624,0.7358490566037735,0.7047619047619048,0.6666666666666666,0.6382978723404256,0.7032435404415265,0.047252115661142395,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26.74407305717468,0.275221638664827,0.027750778198242187,0.007377140159386123,0.9,100,5,2,2,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.7678571428571429,0.7339449541284404,0.6796116504854369,0.66,0.6736842105263158,0.7030195915994673,0.041035271783990926,24,0.9907834101382489,0.9977011494252873,0.9953917050691244,0.9977116704805492,1.0,0.9963175870226418,0.0031273711044594414
43.84261078834534,0.7130497493334574,0.0252016544342041,0.0028321732056942606,1.0,150,20,1,2,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.7358490566037735,0.75,0.7115384615384616,0.64,0.7083333333333334,0.7091441702951138,0.03786728441958668,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88.6309097290039,0.7727793958513878,0.029799938201904297,0.010837044857242902,0.7,200,2,10,5,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_depth': 5, 'model__learning_rate': 0.05}",0.7522935779816514,0.7238095238095238,0.7636363636363637,0.7115384615384616,0.6875,0.7277555853932001,0.027526794187109013,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59.41288294792175,0.6998352180365734,0.034714269638061526,0.01411314428034218,0.7,200,10,5,3,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.7818181818181819,0.7407407407407407,0.7547169811320755,0.693069306930693,0.6666666666666666,0.7274023754576715,0.041839372773169715,8,0.9977011494252873,0.9954128440366973,0.9977011494252873,0.9977116704805492,1.0,0.9977053626735642,0.001450591427770457
75.25323371887207,0.895126219997079,0.024251937866210938,0.00161446056537303,0.9,200,10,10,3,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_depth': 3, 'model__learning_rate': 0.2}",0.7787610619469026,0.7407407407407407,0.6538461538461539,0.6862745098039216,0.6666666666666666,0.705257826600877,0.04723254564240697,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54.76017618179321,0.2239357110469761,0.024558115005493163,0.0018925697348741346,0.8,100,5,5,5,0.2,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.7547169811320755,0.7289719626168224,0.7222222222222222,0.7572815533980582,0.673469387755102,0.7273324214248562,0.030255225147489354,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38.80971956253052,0.22368663882170692,0.022937250137329102,0.0009921100475793123,0.9,100,20,2,3,0.01,"{'model__subsample': 0.9, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_depth': 3, 'model__learning_rate': 0.01}",0.76,0.6521739130434783,0.6373626373626373,0.6739130434782609,0.5185185185185185,0.648393622480579,0.07760250022986717,28,0.8284960422163589,0.8096514745308311,0.8086253369272237,0.8222811671087533,0.8150134048257373,0.8168134851217808,0.007588914839578168
51.72700400352478,0.5984081716798254,0.031298589706420896,0.012097655214315425,0.9,200,10,5,2,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.7407407407407407,0.7339449541284404,0.6666666666666666,0.6728971962616822,0.6521739130434783,0.6932846941682017,0.03665951139874865,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
