number,value,datetime_start,datetime_complete,duration,params_model__learning_rate,params_model__max_depth,params_model__max_features,params_model__min_samples_leaf,params_model__min_samples_split,params_model__n_estimators,params_model__subsample,state
0,0.783180222315276,2026-06-13 20:27:38.587345,2026-06-13 20:27:42.666614,0 days 00:00:04.079269,0.2536999076681772,3,log2,3,13,69,0.662397808134481,COMPLETE
1,0.7167905731416793,2026-06-13 20:27:42.667153,2026-06-13 20:27:45.992253,0 days 00:00:03.325100,0.11114989443094977,1,log2,13,20,80,0.6849356442713105,COMPLETE
2,0.7406028971746111,2026-06-13 20:27:45.992720,2026-06-13 20:27:49.531320,0 days 00:00:03.538600,0.05958389350068958,2,log2,10,7,65,0.6557975442608167,COMPLETE
3,0.7444164793741467,2026-06-13 20:27:49.531785,2026-06-13 20:27:53.704027,0 days 00:00:04.172242,0.14447746112718687,1,sqrt,9,11,73,0.6185801650879991,COMPLETE
4,0.7931580376487041,2026-06-13 20:27:53.704474,2026-06-13 20:27:59.457427,0 days 00:00:05.752953,0.2521267904777921,3,sqrt,5,17,53,0.6390688456025535,COMPLETE
5,0.6645164124578475,2026-06-13 20:27:59.457879,2026-06-13 20:28:02.581941,0 days 00:00:03.124062,0.05388108577817234,1,log2,4,19,56,0.8650089137415928,COMPLETE
