number,value,datetime_start,datetime_complete,duration,params_model__ccp_alpha,params_model__class_weight,params_model__criterion,params_model__max_depth,params_model__max_features,params_model__min_samples_leaf,params_model__min_samples_split,state
0,0.6671575522731412,2026-06-13 20:28:10.274545,2026-06-13 20:28:13.173279,0 days 00:00:02.898734,0.019398197043239886,,entropy,22,sqrt,4,9,COMPLETE
1,0.6267102808788112,2026-06-13 20:28:13.173719,2026-06-13 20:28:15.683686,0 days 00:00:02.509967,0.007327236865873834,balanced,gini,8,log2,14,16,COMPLETE
2,0.6714640126470445,2026-06-13 20:28:15.684182,2026-06-13 20:28:34.320789,0 days 00:00:18.636607,0.016167946962329222,balanced,entropy,19,,2,31,COMPLETE
3,0.6944931265812903,2026-06-13 20:28:34.321260,2026-06-13 20:28:37.147084,0 days 00:00:02.825824,0.010401360423556216,,log_loss,16,sqrt,13,7,COMPLETE
4,0.7260617885701123,2026-06-13 20:28:37.147569,2026-06-13 20:28:39.957656,0 days 00:00:02.810087,0.006506606615265287,,log_loss,28,sqrt,23,48,COMPLETE
5,0.7273537750930688,2026-06-13 20:28:39.958133,2026-06-13 20:28:42.839180,0 days 00:00:02.881047,0.003974313630683448,,log_loss,14,sqrt,14,15,COMPLETE
